collocate,freq_collocate,freq_text,MI
vowler,14,7,9.771301770550016
unwieldy,1,1,8.771301770550016
jackanapes,1,1,8.771301770550016
widened,1,1,8.771301770550016
copses,1,1,8.771301770550016
hale,2,2,8.771301770550016
watering,1,1,8.771301770550016
poplar,1,1,8.771301770550016
unkempt,1,1,8.771301770550016
wherewithal,1,1,8.771301770550016
flawed,1,1,8.771301770550016
matted,1,1,8.771301770550016
wreathed,1,1,8.771301770550016
bethnal,1,1,8.771301770550016
neckcloth,1,1,8.771301770550016
sporting,1,1,8.771301770550016
brambled,1,1,8.771301770550016
focussed,1,1,8.771301770550016
christchurch,1,1,8.771301770550016
adelantado,1,1,8.771301770550016
uncultured,1,1,8.771301770550016
restricted,1,1,8.771301770550016
glaucous,1,1,8.771301770550016
giants,1,1,8.771301770550016
pomi,1,1,8.771301770550016
apricots,1,1,8.771301770550016
muscatels,1,1,8.771301770550016
liberally,1,1,8.771301770550016
masonry,1,1,8.771301770550016
multi,1,1,8.771301770550016
indigo,1,1,8.771301770550016
unconnubial,1,1,8.771301770550016
listens,1,1,8.771301770550016
grocery,1,1,8.771301770550016
wailed,1,1,8.771301770550016
bowling,3,4,8.356264271271172
baize,2,3,8.18633926982886
navy,2,3,8.18633926982886
bays,1,2,7.771301770550016
leafage,1,2,7.771301770550016
turbulence,1,2,7.771301770550016
bordered,1,2,7.771301770550016
counties,1,2,7.771301770550016
trowel,1,2,7.771301770550016
coil,1,2,7.771301770550016
garnet,1,2,7.771301770550016
freshened,1,2,7.771301770550016
balmy,1,2,7.771301770550016
bantering,1,2,7.771301770550016
gauzy,1,2,7.771301770550016
softening,1,2,7.771301770550016
peter,15,30,7.771301770550016
mercantile,1,2,7.771301770550016
almonds,1,2,7.771301770550016
resigning,1,2,7.771301770550016
ladylike,1,2,7.771301770550016
hercules,1,2,7.771301770550016
sward,1,2,7.771301770550016
privacy,1,2,7.771301770550016
stripes,2,5,7.449373675662654
busily,1,3,7.18633926982886
buoys,1,3,7.18633926982886
emerald,1,3,7.18633926982886
causing,1,3,7.18633926982886
reposing,1,3,7.18633926982886
blinds,1,3,7.18633926982886
sludge,1,3,7.18633926982886
cake,1,3,7.18633926982886
shouldering,1,3,7.18633926982886
hackney,1,3,7.18633926982886
scarf,1,3,7.18633926982886
distaff,1,3,7.18633926982886
pomegranates,1,3,7.18633926982886
fret,1,3,7.18633926982886
floored,1,3,7.18633926982886
orange,1,3,7.18633926982886
luri,1,3,7.18633926982886
wreathing,1,3,7.18633926982886
threaded,1,3,7.18633926982886
scarlet,2,7,6.963946848492412
sober,2,7,6.963946848492412
signals,1,4,6.771301770550016
slime,1,4,6.771301770550016
agreeable,2,8,6.771301770550016
pasture,1,4,6.771301770550016
oozy,1,4,6.771301770550016
relic,1,4,6.771301770550016
undertook,1,4,6.771301770550016
disturbing,1,4,6.771301770550016
gracefully,1,4,6.771301770550016
flashes,1,4,6.771301770550016
dipping,1,4,6.771301770550016
margin,1,5,6.449373675662654
brushed,1,5,6.449373675662654
glen,1,5,6.449373675662654
quarry,1,5,6.449373675662654
salary,1,5,6.449373675662654
threescore,1,5,6.449373675662654
mossy,1,5,6.449373675662654
rogliano,1,5,6.449373675662654
leafy,1,5,6.449373675662654
discarded,1,5,6.449373675662654
bottles,1,6,6.18633926982886
uncommonly,1,6,6.18633926982886
foreground,1,6,6.18633926982886
reproachful,1,6,6.18633926982886
fairest,1,6,6.18633926982886
bubbles,1,6,6.18633926982886
willow,1,6,6.18633926982886
jointed,1,6,6.18633926982886
slimy,1,6,6.18633926982886
edged,1,6,6.18633926982886
lessons,1,6,6.18633926982886
hedge,3,19,6.108336757827587
dragging,1,7,5.963946848492412
fringed,1,7,5.963946848492412
peeping,1,7,5.963946848492412
texture,1,7,5.963946848492412
enamel,1,7,5.963946848492412
damask,1,7,5.963946848492412
green,14,98,5.963946848492412
secluded,1,7,5.963946848492412
adelaide,1,8,5.771301770550016
commission,1,8,5.771301770550016
kindest,1,8,5.771301770550016
connection,1,8,5.771301770550016
heavenly,2,17,5.683838929299676
largely,1,9,5.601376769107703
observing,1,9,5.601376769107703
moss,1,9,5.601376769107703
flashing,1,10,5.449373675662654
brink,1,10,5.449373675662654
creatures,1,10,5.449373675662654
corn,1,10,5.449373675662654
coloured,1,10,5.449373675662654
violet,1,10,5.449373675662654
tops,1,10,5.449373675662654
behaved,2,21,5.378984347771255
spending,1,11,5.311870151912719
april,1,11,5.311870151912719
oxford,1,11,5.311870151912719
elder,1,11,5.311870151912719
noiselessly,1,11,5.311870151912719
framed,1,11,5.311870151912719
meadows,1,12,5.18633926982886
sheep,1,12,5.18633926982886
surface,1,12,5.18633926982886
shawl,1,12,5.18633926982886
sheltered,1,13,5.070862052408923
flowing,1,13,5.070862052408923
polish,1,13,5.070862052408923
trade,1,13,5.070862052408923
waves,2,28,4.963946848492412
apron,1,14,4.963946848492412
debbie,1,14,4.963946848492412
rolling,1,15,4.864411174941497
sides,1,15,4.864411174941497
foul,1,15,4.864411174941497
weed,1,15,4.864411174941497
knocking,1,15,4.864411174941497
acquaintance,1,15,4.864411174941497
hearty,1,15,4.864411174941497
picked,1,15,4.864411174941497
arbour,1,15,4.864411174941497
snake,1,16,4.771301770550016
bonnet,1,16,4.771301770550016
riding,4,64,4.771301770550016
surrounded,1,16,4.771301770550016
fill,1,17,4.683838929299676
brilliant,1,17,4.683838929299676
wrote,2,34,4.683838929299676
somehow,2,34,4.683838929299676
holds,1,17,4.683838929299676
cool,1,17,4.683838929299676
abide,1,18,4.601376769107703
dragged,1,18,4.601376769107703
teach,1,18,4.601376769107703
class,1,19,4.523374257106431
fruit,1,20,4.449373675662653
friendship,1,20,4.449373675662653
olive,1,20,4.449373675662653
banks,1,21,4.378984347771255
title,1,21,4.378984347771255
dress,4,84,4.378984347771255
iron,2,43,4.345037015847918
influence,1,22,4.311870151912719
middle,2,45,4.279448674220341
chanced,1,23,4.247739814493003
yield,1,23,4.247739814493003
meeting,1,24,4.186339269828859
vein,1,24,4.186339269828859
coat,1,25,4.127445580775291
rare,1,25,4.127445580775291
purple,1,25,4.127445580775291
fresh,2,52,4.070862052408923
deeper,1,26,4.070862052408923
blade,1,26,4.070862052408923
leaning,1,27,4.016414268386547
concerned,1,27,4.016414268386547
trees,2,56,3.963946848492412
dashed,1,28,3.963946848492412
shade,1,29,3.9133207754224437
warmth,1,29,3.9133207754224437
thin,1,30,3.8644111749414973
rapid,1,30,3.8644111749414973
chapel,1,30,3.8644111749414973
laughing,1,32,3.771301770550016
lane,1,32,3.771301770550016
changed,1,32,3.771301770550016
leaves,1,33,3.726907651191562
ceased,1,33,3.726907651191562
blue,4,133,3.7160193350488266
arrival,1,34,3.683838929299676
belief,1,34,3.683838929299676
clouds,1,35,3.6420187536050497
roof,1,35,3.6420187536050497
throat,1,36,3.6013767691077034
mile,1,36,3.6013767691077034
talked,1,36,3.6013767691077034
nonsense,1,36,3.6013767691077034
fifty,2,72,3.6013767691077034
