collocate,freq_collocate,freq_text,MI
sprang,1,1,11.294620748891628
hues,1,1,11.294620748891628
cinnamon,1,1,11.294620748891628
glabrous,1,1,11.294620748891628
requiring,1,1,11.294620748891628
stored,1,1,11.294620748891628
soaring,1,1,11.294620748891628
firmament,1,1,11.294620748891628
harmony,1,2,10.294620748891628
adieu,1,2,10.294620748891628
filling,1,2,10.294620748891628
bull,1,10,7.972692654004264
yellow,1,12,7.709658248170472
officer,1,14,7.487265826834022
delicate,1,15,7.387730153283109
color,1,22,6.83518913025433
forehead,1,24,6.709658248170472
distance,1,30,6.387730153283109
either,1,33,6.2502266295331745
soft,1,52,5.594181030750534
indeed,1,59,5.411977699529786
brought,1,71,5.144873629386945
side,1,77,5.027834208196726
into,1,250,3.32883646422954
like,1,370,2.763239288375315
only,1,378,2.732378324670554
thing,1,426,2.5599111286657887
have,1,1282,0.970440202272886
