text,real_label,pred_label,percentage
" I`d have responded, if I were going",neutral,neutral,0.8083
 Sooo SAD I will miss you here in San Diego!!!,negative,negative,0.9182
my boss is bullying me...,negative,negative,0.9246
 what interview! leave me alone,negative,negative,0.7831
" Sons of ****, why couldn`t they put them on the releases we already bought",negative,negative,0.5642
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral,positive,0.4793
2am feedings for the baby are fun when he is all smiles and coos,positive,positive,0.971
Soooo high,neutral,neutral,0.504
 Both of you,neutral,neutral,0.7103
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),positive,positive,0.9728
" as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral,negative,0.5465
I really really like the song Love Story by Taylor Swift,positive,positive,0.9827
My Sharpie is running DANGERously low on ink,negative,negative,0.9051
i want to go to music tonight but i lost my voice.,negative,negative,0.6092
test test from the LG enV2,neutral,neutral,0.8902
"Uh oh, I am sunburned",negative,negative,0.7451
" S`ok, trying to plot alternatives as we speak *sigh*",negative,neutral,0.5946
"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative,negative,0.9232
is back home now      gonna miss every one,negative,negative,0.6575
Hes just not that into you,neutral,negative,0.6195
" oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral,neutral,0.4659
Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive,positive,0.9843
is cleaning the house for her family who is comming later today..,neutral,neutral,0.8427
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,negative,0.5769
SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,neutral,0.5871
"the free fillin` app on my ipod is fun, im addicted",positive,positive,0.9851
  I`m sorry.,negative,negative,0.6156
On the way to Malaysia...no internet access to Twit,negative,negative,0.5683
juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive,positive,0.9714
Went to sleep and there is a power cut in Noida  Power back up not working too,negative,negative,0.7698
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive,neutral,0.6511
i hope unni will make the audition . fighting dahye unni !,positive,positive,0.5401
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative,neutral,0.4278
 That`s very funny.  Cute kids.,positive,positive,0.9674
